code,name,picture_link,darujme,generate
psp_video,Video archiv,"",1200625
difflaws,Přehledné porovnávání návrhů zákonů,"",,1
senat,Senát,"https://cs.wikipedia.org/wiki/Sen%C3%A1t_Parlamentu_%C4%8Cesk%C3%A9_republiky#/media/File:Senat_2833.jpg",1200654
praha,Praha,,1200638
brno,Brno,"https://cs.wikipedia.org/wiki/Brno#/media/File:Brno_-_Cathedral_of_Saints_Peter_and_Paul_III.jpg",1200639
ostrava,Ostrava",https://upload.wikimedia.org/wikipedia/commons/2/2d/Ostrava%2C_pohled_z_Nov%C3%A9_radnice_2.jpg",1200640
plzen,Plzeň,"https://et.wikipedia.org/wiki/Fail:View_St_Bartholomew_Plzen_113.JPG",1200641
liberec,Liberec,"https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Liberec%2C_radnice%2C_v%C3%BDhled_01.jpg/1200px-Liberec%2C_radnice%2C_v%C3%BDhled_01.jpg",1200642
olomouc,Olomouc",https://upload.wikimedia.org/wikipedia/commons/b/b1/Olomouc_panorama.jpg",1200643
usti_nad_labem,Ústí nad Labem,"https://upload.wikimedia.org/wikipedia/commons/2/27/%C3%9Ast%C3%AD_nad_Labem%2C_V%C4%9Btru%C5%A1e%2C_Pohled_na_m%C4%9Bsto_II.JPG",1200644
hradec_kralove,Hradec Králové,"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Hradec_Kr%C3%A1lov%C3%A9_od_soutoku.JPG/1200px-Hradec_Kr%C3%A1lov%C3%A9_od_soutoku.JPG",1200645
ceske_budejovice,České Budějovice,"https://en.wikipedia.org/wiki/%C4%8Cesk%C3%A9_Bud%C4%9Bjovice_District#/media/File:Budweis_059.JPG",1200646
pardubice,Pardubice,"https://en.wikipedia.org/wiki/Pardubice#/media/File:Pardubice_CZ_main_square.JPG",1200647
praha_4,Praha 4,"https://cs.wikipedia.org/wiki/Pankr%C3%A1c_(Praha)#/media/File:Pankr%C3%A1c,_z_Roztyl.jpg",1200658
praha_6,Praha 6",https://en.wikipedia.org/wiki/Prague_6#/media/File:Praha,_Dejvice_-_ulice_Zikova_(nataceni_filmu_G.I.Joe).jpg",1200649
praha_8,Praha 8",https://cs.wikipedia.org/wiki/Praha_8#/media/File:Libensky_zamecek001.JPG",1200650
praha_10,Praha 10,"https://cs.wikipedia.org/wiki/Petrovice_(Praha)#/media/File:Praha,_Petrovice,_s%C3%ADdli%C5%A1t%C4%9B_Dobr%C3%A1_Voda.jpg",1200651
other,Ostatní obce,"https://nl.wikipedia.org/wiki/T%C3%A1bor#/media/File:Tabor_CZ_aerial_old_town_from_north_B1.jpg",1200653
